Frame,X,Y
2,1295,50
8,1335,24
14,617,158
39,1165,48
42,1160,26
44,1185,49
45,1171,37
61,1142,49
62,1139,56
63,1142,58
74,1152,81
83,819,19
84,824,28
85,826,40
98,397,49
106,544,71
107,547,50
108,849,57
109,856,40
110,863,20
111,730,889
149,1295,59
157,1236,30
159,1237,31
160,701,1047
170,1268,41
202,1205,142
259,1314,798
289,1117,235
290,1090,232
291,176,34
295,1281,49
297,1125,219
298,1353,31
299,1212,212
301,1608,275
325,946,24
326,961,28
327,972,33
328,982,52
329,989,90
330,994,88
331,999,67
332,999,52
333,999,39
334,982,31
335,965,22
336,946,13
340,1276,71
347,1155,834
356,1034,11
366,1272,39
430,1095,1004
464,1167,881
465,1170,879
466,1171,877
467,1171,874
468,1172,875
470,1133,813
570,75,960
571,1724,197
595,1256,734
650,1027,775
661,535,748
792,1044,650
825,979,423
827,990,424
828,994,424
829,999,429
830,1005,430
831,1011,433
832,1015,436
833,1021,441
834,1026,447
835,1033,453
836,1040,458
837,1047,468
838,1054,478
840,1064,497
842,1083,527
843,1093,544
844,1099,541
845,1103,531
846,1111,526
847,1113,514
848,1122,511
849,1129,501
850,1135,495
851,1144,491
852,1150,487
854,1165,480
855,1171,478
856,1181,479
857,1190,479
858,1198,479
868,1154,522
869,1152,472
870,1119,454
871,1093,442
872,1071,428
873,1047,423
874,1029,418
875,1012,411
882,935,404
884,922,405
885,913,409
887,905,416
894,874,448
895,871,451
904,851,483
905,852,477
919,851,384
920,856,376
921,853,367
925,857,340
929,864,313
930,863,307
933,868,292
935,870,282
936,874,279
937,873,275
938,874,274
943,882,264
944,882,265
945,884,263
948,888,271
949,890,272
950,892,280
951,894,283
952,897,289
953,898,298
954,901,301
958,905,341
961,914,381
969,936,552
970,939,564
971,940,546
973,905,454
981,964,408
983,969,383
984,967,376
985,969,369
986,971,362
989,974,353
991,976,352
995,982,352
999,988,363
1001,991,372
1002,993,373
1003,996,376
1004,995,382
1007,998,394
1010,970,444
1011,1008,414
