Frame,X,Y
2,1295,50
8,1335,24
14,617,158
39,1165,48
42,1160,26
44,1185,49
45,1171,37
61,1142,49
62,1139,56
63,1142,58
74,1152,81
83,819,19
84,824,28
85,826,40
98,397,49
106,544,71
107,547,50
108,849,57
109,856,40
110,863,20
111,730,889
149,1295,59
157,1236,30
159,1237,31
160,701,1047
170,1268,41
202,1205,142
259,1314,798
289,1117,235
290,1090,232
291,176,34
295,1281,49
297,1125,219
298,1353,31
299,1212,212
301,1608,275
325,946,24
326,961,28
327,972,33
328,982,52
329,989,90
330,994,88
331,999,67
332,999,52
333,999,39
334,982,31
335,965,22
336,946,13
340,1276,71
347,1155,834
356,1034,11
366,1272,39
430,1095,1004
464,1167,881
465,1170,879
466,1171,877
467,1171,874
468,1172,875
470,1133,813
570,75,960
571,1724,197
595,1256,734
650,1027,775
