Frame,X,Y
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,958,568
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,954,553
104,954,558
105,,
106,,
107,,
108,952,562
109,951,558
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,953,561
118,,
119,954,564
120,954,558
121,954,555
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,955,546
138,953,549
139,954,556
140,955,565
141,954,568
142,955,565
143,954,557
144,954,555
145,954,549
146,950,548
147,953,542
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,954,538
157,,
158,952,553
159,955,562
160,953,570
161,955,565
162,956,559
163,955,553
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,959,531
174,,
175,,
176,,
177,954,556
178,955,562
179,,
180,,
181,954,562
182,954,558
183,948,549
184,,
185,,
186,955,538
187,,
188,,
189,,
190,,
191,,
192,,
193,951,540
194,,
195,951,552
196,950,557
197,,
198,,
199,,
200,951,558
201,951,553
202,950,550
203,949,544
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,941,521
272,,
273,936,504
274,942,502
275,941,494
276,942,487
277,945,481
278,,
279,946,472
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,952,562
300,,
301,,
302,963,477
303,963,478
304,,
305,,
306,970,481
307,937,548
308,,
309,978,496
310,982,502
311,987,507
312,992,515
313,1000,528
314,1006,540
315,1015,553
316,1024,569
317,1035,588
318,946,553
319,949,562
320,1069,607
321,1080,598
322,1090,586
323,1104,576
324,1120,567
325,1138,555
326,1156,549
327,1177,543
328,1203,538
329,1232,530
330,1266,529
331,,
332,1286,503
333,1240,474
334,1202,455
335,1175,438
336,,
337,985,567
338,988,567
339,,
340,,
341,,
342,,
343,,
344,,
345,958,567
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,985,567
354,977,471
355,974,478
356,977,565
357,966,493
358,964,502
359,961,508
360,,
361,961,565
362,,
363,957,567
364,953,564
365,952,564
366,,
367,941,575
368,940,567
369,941,560
370,940,552
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,932,512
381,,
382,,
383,,
384,929,514
385,,
386,927,514
387,,
388,928,520
389,,
390,,
391,,
392,950,563
393,,
394,982,505
395,993,502
396,1003,505
397,1014,504
398,1026,508
399,1037,509
400,946,562
401,1064,518
402,1081,528
403,1097,537
404,1112,545
405,1131,558
406,1150,573
407,1172,590
408,1194,608
409,1219,631
410,1239,619
411,1259,606
412,1284,595
413,977,564
414,1334,575
415,988,565
416,1392,556
417,1426,550
418,1464,544
419,1504,538
420,1552,538
421,,
422,976,567
423,976,567
424,976,566
425,,
426,,
427,,
428,,
429,1003,568
430,,
431,1009,567
432,,
433,1436,400
434,1378,391
435,1332,384
436,,
437,,
438,,
439,,
440,1005,565
441,1006,567
442,1914,622
443,,
444,,
445,,
446,,
447,,
448,999,565
449,998,566
450,,
451,1033,449
452,1030,459
453,1021,469
454,1017,475
455,1009,484
456,1003,496
457,998,503
458,993,513
459,,
460,996,564
461,1515,879
462,1000,570
463,998,566
464,970,568
465,,
466,963,567
467,960,558
468,960,555
469,,
470,182,580
471,952,534
472,947,527
473,947,524
474,945,520
475,977,562
476,942,514
477,978,562
478,,
479,,
480,976,567
481,993,510
482,1005,508
483,1018,508
484,1032,510
485,1045,514
486,1060,516
487,1079,521
488,1096,528
489,1117,535
490,1136,542
491,,
492,963,570
493,963,570
494,,
495,,
496,,
497,,
498,,
499,1390,600
500,1426,592
501,1467,582
502,1512,576
503,,
504,1617,569
505,979,571
506,982,573
507,977,572
508,,
509,973,566
510,975,568
511,976,569
512,977,570
513,,
514,170,566
515,987,573
516,984,568
517,,
518,988,574
519,,
520,,
521,,
522,,
523,987,573
524,152,581
525,,
526,,
527,,
528,,
529,,
530,,
531,,
532,,
533,,
534,,
535,,
536,,
537,,
538,,
539,,
540,,
541,,
542,,
543,,
544,,
545,1112,87
546,,
547,1115,85
548,,
549,,
550,136,571
551,,
552,,
553,,
554,,
555,,
556,,
557,,
558,1134,70
559,,
560,1135,67
561,,
562,1138,63
563,,
564,,
565,1907,904
566,,
567,,
568,,
569,1014,156
570,1023,158
571,,
572,1156,49
573,,
574,1160,46
575,,
576,1163,43
577,1166,41
578,1166,39
579,1168,37
580,,
581,,
582,,
583,1049,140
584,,
585,1051,137
586,1054,136
587,,
588,,
589,,
590,,
591,,
592,1062,126
593,,
594,1068,124
595,,
596,1200,23
597,1201,24
598,1205,26
599,,
600,1082,115
601,1211,20
602,1084,113
603,1214,19
604,1218,17
605,73,565
606,71,566
607,1224,18
608,1226,15
609,1232,12
610,1231,15
611,1102,100
612,1237,18
613,1240,13
614,1240,15
615,1243,13
616,,
617,1118,91
618,1253,11
619,1255,11
620,1123,87
621,1126,86
622,1128,86
623,1130,83
624,1133,83
625,1135,82
626,1136,80
627,1144,73
628,1141,75
629,1078,567
630,1148,71
631,1150,72
632,1152,72
633,1156,67
634,1157,65
635,1158,64
636,,
637,1163,61
638,1144,472
639,1141,478
640,1138,489
641,1174,52
642,1137,507
643,1134,513
644,1182,49
645,1186,45
646,1079,122
647,1189,40
648,1192,40
649,1086,119
650,1127,151
651,1201,36
652,1091,115
653,1132,147
654,1093,111
655,1212,28
656,1060,75
657,1103,110
658,1219,24
659,1108,106
660,1119,520
661,1232,20
662,1234,15
663,1162,133
664,1162,132
665,1242,12
666,1125,98
667,1172,126
668,1130,95
669,1136,92
670,1137,91
671,1139,90
672,1187,118
673,1143,88
674,1098,58
675,1102,56
676,1101,54
677,1154,80
678,1106,53
679,1160,82
680,1114,49
681,1112,50
682,1105,532
683,1122,48
684,1123,47
685,1175,71
686,1179,69
687,1181,68
688,1132,40
689,1188,63
690,1189,63
691,1191,63
692,1195,60
693,1147,34
694,1201,58
695,1206,58
696,1155,33
697,1158,28
698,1159,28
699,1216,52
700,1164,27
701,1282,77
702,1225,48
703,1230,48
704,1234,46
705,1236,43
706,1237,43
707,1188,21
708,1242,40
709,1078,566
710,1317,61
711,1318,61
712,1198,15
713,,
714,73,565
715,1267,31
716,1270,31
717,1275,31
718,1275,28
719,1349,48
720,,
721,1075,562
722,1293,24
723,1296,22
724,1298,23
725,1301,24
726,1037,556
727,1309,21
728,1312,21
729,1315,19
730,1034,557
731,,
732,1405,21
733,1404,20
734,1333,13
735,1335,9
736,,
737,1345,10
738,,
739,1028,548
740,,
741,1022,563
742,,
743,,
744,1033,565
745,1031,564
746,1030,564
747,,
748,,
749,1023,565
750,,
751,,
752,,
753,,
754,1015,548
755,,
756,,
757,1009,549
758,1009,555
759,1007,560
760,,
761,,
762,1004,560
763,1009,562
764,1000,552
765,,
766,,
767,,
768,996,541
769,,
770,,
771,,
772,,
773,,
774,,
775,,
776,,
777,,
778,,
779,,
780,989,557
781,5,756
782,,
783,73,565
784,71,566
785,70,565
786,,
787,,
788,,
789,,
790,,
791,,
792,,
793,,
