Frame,X,Y
2,500,166
3,498,170
4,497,180
5,497,188
6,499,189
7,496,199
8,495,210
10,492,240
11,492,258
12,491,257
13,381,214
14,382,216
15,485,320
16,486,343
17,485,369
18,487,367
19,485,397
20,483,427
21,397,219
22,481,494
23,479,530
24,479,529
25,477,558
26,478,551
27,478,548
28,478,548
29,414,218
30,479,550
31,419,219
32,479,560
33,478,567
34,476,576
35,476,586
36,476,587
37,776,80
38,517,511
39,448,96
40,448,96
41,575,406
42,575,406
43,591,379
44,607,358
45,618,342
46,672,634
47,440,96
48,642,313
49,766,80
50,664,290
51,742,639
52,667,634
53,693,276
54,692,276
55,702,273
56,710,272
57,535,219
58,540,219
59,758,79
60,730,278
61,734,280
62,740,286
63,745,291
64,748,278
65,604,222
66,751,261
67,755,248
68,757,235
69,752,80
70,762,214
71,764,207
72,764,206
73,418,247
74,770,194
75,772,190
76,774,186
77,775,185
78,774,182
79,764,184
80,756,188
81,746,192
82,688,165
83,687,161
85,717,199
86,709,205
87,698,208
88,688,214
89,681,219
90,682,220
91,672,226
92,661,235
93,650,240
94,642,250
95,634,260
96,634,260
97,624,270
98,615,281
99,607,291
100,598,304
101,590,316
102,589,315
103,580,330
104,571,346
105,563,361
106,554,378
107,546,396
108,546,394
109,434,560
110,527,436
111,521,457
112,513,477
115,495,527
116,430,554
118,477,559
119,473,554
120,476,552
121,468,550
122,464,549
123,460,550
124,456,552
125,681,219
126,682,218
127,447,561
128,445,565
130,445,535
131,453,489
132,454,489
133,458,450
134,550,222
135,469,391
136,474,364
137,478,342
138,479,344
139,482,326
140,486,311
141,489,298
142,475,497
143,492,278
144,494,280
145,498,272
146,500,270
147,504,266
148,505,265
149,506,264
150,506,264
151,510,268
152,510,266
153,511,270
154,510,270
155,512,252
156,514,256
157,514,240
158,512,226
159,457,215
160,514,206
161,517,198
162,516,200
163,520,194
164,519,187
165,519,183
166,747,79
167,512,184
168,512,182
169,508,186
170,506,190
171,418,94
172,500,203
173,416,95
174,496,210
175,496,226
176,491,235
177,490,250
178,487,267
179,485,285
180,485,285
181,480,304
182,480,328
183,476,350
184,476,378
185,497,576
186,475,408
187,487,569
188,470,474
189,469,507
190,465,517
191,463,511
192,464,510
193,460,506
194,458,502
195,663,157
196,453,503
197,454,508
198,454,508
199,454,514
200,449,519
201,447,529
202,446,542
203,444,552
204,443,553
205,463,529
206,493,483
207,524,442
208,547,408
209,571,378
210,569,381
211,400,669
212,612,333
213,628,312
214,646,302
215,661,286
216,662,290
217,676,274
218,687,269
219,700,262
220,710,257
221,723,255
222,721,255
223,732,254
224,742,253
225,750,254
226,759,255
227,766,260
228,766,260
229,772,264
230,780,270
231,784,276
232,789,267
233,792,251
234,792,252
235,795,236
236,799,224
237,657,225
238,805,201
239,807,191
240,809,193
241,811,183
242,814,176
243,815,173
244,815,179
245,366,638
246,814,186
247,814,198
248,811,208
251,559,601
257,858,236
258,820,242
259,818,242
260,815,242
261,813,243
263,811,243
265,858,236
266,595,535
267,595,505
268,592,480
269,589,455
270,589,455
271,587,433
272,586,414
273,582,394
274,580,378
275,578,362
276,577,363
277,742,238
278,572,334
279,570,326
280,568,316
281,566,306
282,563,307
283,562,302
284,560,296
285,558,294
286,556,292
287,555,295
288,553,294
289,550,298
290,547,300
291,546,306
292,540,310
293,542,322
294,540,320
295,538,331
296,536,342
299,681,296
300,680,296
301,721,287
